trxID,date,miles,vehicleID,maintCategory,vehicleSystem,description,cost,notes
1,3/7/13 0:00,85539,3,1,,oil cooler gasket,400,
2,3/7/13 0:00,85539,3,1,,thermostat,400,
3,3/7/13 0:00,85539,3,2,,coolant flush,400,
4,7/3/09 0:00,39707,3,3,,Warranty blinker,0,
5,3/4/13 0:00,85470,3,2,,oil change,30,
6,1/21/12 0:00,73420,3,2,,oil change,30,
7,1/12/13 0:00,83995,3,2,,Tires,400,
8,11/10/10 0:00,60958,3,2,,rear brake pads,300,
9,11/11/10 0:00,60958,3,2,,cabin air filter,100,
10,11/28/11 0:00,71777,3,1,,front control arm bushings,455,
11,12/5/13 0:00,92254,3,2,,Front rotors and pads,607,
12,8/10/13 0:00,90456,3,1,,water pump,1000,
13,8/11/13 0:00,90456,3,2,,oil change,30,
14,12/7/13 0:00,92285,3,1,,ignition coils 1 and 2,142,
15,2/10/15 0:00,104677,3,1,,oil pan gasket and sensor,867,
16,2/10/15 0:00,104677,3,2,,spark plugs,150,
17,2/10/15 0:00,104677,3,1,,pulleys and drive belt,300,
18,2/10/15 0:00,104677,3,1,,other,500,
19,2/10/15 0:00,104677,3,1,,oil level sensor,300,
20,2/16/15 0:00,104400,3,1,,"cup holder, pillar trim",244,
21,1/1/16 0:00,128429,3,1,,Ignition coils,150,replaced all
22,1/1/16 0:00,128429,3,2,,spark plugs,100,replaced all
23,1/2/16 0:00,128429,3,2,,Oil change,30,
24,3/1/17 0:00,131200,3,2,,Add 1 qt. oil,10,
25,3/1/17 0:00,133000,3,2,,"Transmission pan replaced, 6 qt ATF",125,
26,3/1/17 0:00,133000,3,2,,Coolant Flush,50,
27,3/10/17 0:00,134000,3,2,,add 1 qt of oil,10,
28,3/10/17 0:00,134000,3,1,,CCV,200,
29,3/10/17 0:00,134000,3,1,,Finish Repair-Elsen,580,
30,6/1/17 0:00,135700,3,2,,Oil change,30,
31,6/1/17 0:00,135700,3,2,,Brake flush,50,
32,9/1/17 0:00,140066,3,2,,oil change,30,
33,9/1/17 0:00,140066,3,2,,transfer case fluid,200,
34,12/31/17 0:00,142153,3,1,,starter replacement,1050,includes tow
35,3/14/18 0:00,142500,3,1,,Front and rear brake pads and rotors,273,
36,3/15/18 0:00,142500,3,2,,add 1 Qt oil,12,
37,3/16/18 0:00,142500,3,2,,Tires,625,
38,12/1/13 0:00,40240,8,3,,Steering wheel replaced (heater) warranty,0,
39,12/16/13 0:00,40740,8,2,,Lifetime Alignment @ Firestone,300,
40,7/31/16 0:00,85788,8,2,,Oil Change,50,
41,7/31/16 0:00,85788,8,3,,Front Brake Rotor Warranty,0,
42,1/1/17 0:00,88020,8,1,,transmission cooler tubes replaced,150,
43,1/1/17 0:00,88020,8,1,,CV Boot driver side,75,
44,1/1/17 0:00,88020,8,1,,Tie rods,150,
45,1/1/17 0:00,88020,8,1,,Front Upper and Lower control arms,700,
46,1/1/17 0:00,88020,8,2,,Brake rotor all 4,500,
47,1/1/17 0:00,88020,8,2,,air filters,45,
48,1/1/17 0:00,89090,8,2,,Transmission flush,300,
49,1/1/17 0:00,89090,8,2,,alignment,300,
50,9/1/17 0:00,93147,8,2,,oil change,50,
51,12/17/17 0:00,99400,8,1,,power steering replace all lines,1791,
52,10/23/12 0:00,24000,1,2,,Oil Change,50,
53,10/23/12 0:00,34382,1,2,,Oil Change,50,
54,9/1/17 0:00,40200,1,2,,Front brakes-rotors only,200,
55,10/23/12 0:00,42733,1,2,,Oil Change,50,
56,6/13/08 0:00,588,2,2,,1st Service,,
57,8/12/08 0:00,3362,2,2,,Oil Change,,
58,9/25/08 0:00,5056,2,2,,2nd Service,,
59,10/23/12 0:00,8000,2,2,,Tires,,
60,10/23/12 0:00,8000,2,2,,3rd Service,,
61,10/23/12 0:00,11600,2,2,,Oil Change,,
62,10/23/12 0:00,12187,2,2,,Tires,,
63,10/23/12 0:00,13900,2,2,,Oil Change,,
64,9/7/09 0:00,18090,2,2,,Oil Change,,
65,10/15/10 0:00,21560,2,2,,Oil Change,,
66,10/23/12 0:00,21650,2,2,,Tires,600,
67,8/5/11 0:00,22300,2,1,,Install New cooling fan,200,
68,10/23/12 0:00,25200,2,2,,Tires,600,
69,10/23/12 0:00,26500,2,2,,Clutch cable,200,
70,10/23/12 0:00,27687,2,2,,Oil Change,20,
71,11/22/13 0:00,28800,2,2,,Oil Change,20,
72,11/22/13 0:00,28800,2,2,,Realign Rear Wheel,,
73,11/22/13 0:00,28800,2,2,,Front and rear brake pads,100,
74,11/22/13 0:00,28800,2,2,,Spark Plugs and Coolant flush,40,
75,2/21/15 0:00,30991,2,2,,Oil Change,20,
76,9/18/15 0:00,32500,2,2,,Oil Change,20,
77,9/1/17 0:00,34000,2,2,,Chain and Sprocket Set,200,
78,1/1/18 0:00,29000,4,2,,Oil Change,20,
79,3/20/18 0:00,142620,3,1,,"Struts, trunk wiring, window trim, sway bar ends",2200,
80,3/21/18 0:00,36034,2,2,,Oil Change,30,
81,4/20/18 0:00,101908,8,1,,alignment,239,
82,6/9/18 0:00,144614,3,2,,Oil Change,40,
83,6/7/18 0:00,144605,3,1,,Heater Valve and IHKA module,1061,
84,7/2/18 0:00,37050,4,2,,Oil Change,29,
85,9/1/18 0:00,147030,3,2,,Add 1 qt,5,
86,9/10/18 0:00,105000,8,2,,Front rotors,170,
87,10/21/18 0:00,50545,1,2,,Oil Change,50,
88,5/1/18 0:00,6000,7,2,,Oil Change,0,
89,10/31/18 0:00,148549,3,4,,Air Bag Sensor Mat/PCV Heater,0,
90,10/31/18 0:00,148549,3,2,,Add 1 qt,5,
91,2/17/19 0:00,66135,1,2,,Oil Change,50,